ym164699	tt0062673
ym146237	tt0051435
ym158898	tt0060310
ym155043	tt0003475
ym175339	tt0054004
ym154537	tt0072228
ym176989	tt0387412
ym167251	tt0062408
ym161359	tt0270572
ym160999	tt0111054
ym179191	tt0233263
ym164675	tt0019277
ym165343	tt1024744
ym143145	tt0103639
ym164590	tt0976238
ym159908	tt0445171
ym163991	tt0012734
ym148156	tt0097647
ym148540	tt0023584
ym174317	tt0038753
ym183630	tt0293007
ym182925	tt0023657
ym161141	tt0113533
ym162759	tt0035182
ym145447	tt0360201
ym148259	tt0084509
ym173903	tt0292267
ym143674	tt0035140
ym154167	tt0057521
ym174740	tt0047376
ym146100	tt0120184
ym152473	tt0060345
ym158976	tt0234261
ym156276	tt0032007
ym174771	tt0244549
ym180409	tt0064542
ym169606	tt0008395
ym182255	tt0035345
ym176905	tt0105114
ym181785	tt0080604
ym166270	tt0005192
ym143583	tt0119654
ym154534	tt0110391
ym169478	tt0193283
ym143227	tt0005960
ym173439	tt1470171
ym149071	tt00115900
ym158542	tt0025134
ym151035	tt0034549
ym182995	tt0102583
ym145420	tt0120877
ym168803	tt0049315
ym170237	tt0061565
ym165213	tt0016929
ym145023	tt0019901
ym158022	tt0022811
ym184246	tt0068658
ym150493	tt0418773
ym152386	tt0094033
ym157063	tt0034428
ym171323	tt0094183
ym174799	tt0028471
ym143166	tt0085482
ym162703	tt0005342
ym182770	tt0029462
ym153663	tt0101756
ym153749	tt0045679
ym174224	tt0052398
ym161270	tt0962736
ym142980	tt0027698
ym145198	tt0052564
ym176367	tt1680096
ym164168	tt0008177
ym146957	tt0078158
ym163206	tt0018926
ym144433	tt0096486
ym166718	tt0241776
ym159797	tt0004282
ym159594	tt0030817
ym174013	tt0267810
ym158222	tt0277615
ym178267	tt0312848
ym153690	tt0110438
ym171313	tt0017420
ym149106	tt0168501
ym175537	tt0383317
ym174569	tt0093225
ym160735	tt0072603
ym164157	tt0008176
ym163682	tt0027585
ym143871	tt0093409
ym154976	tt0939911
ym161048	tt0462396
ym162676	tt0005360
ym147090	tt0318411
ym161911	tt0046238
ym167523	tt0027147
ym168715	tt0276925
ym162928	tt0008209
ym166844	tt0312363
ym167101	tt0010227
ym176964	tt0230512
ym176255	tt1186363
ym176177	tt0041949
ym171273	tt0058610
ym159692	tt0036349
ym183867	tt0223046
ym163354	tt0481581
ym161669	tt0211792
ym154983	tt0121395
ym177462	tt0457496
ym157111	tt0116001
ym176100	tt1536048
ym157990	tt0097810
ym165383	tt0220760
ym163895	tt0997157
ym146037	tt0082926
ym177759	tt0705252
ym165864	tt0042275
ym149336	tt0083629
ym177138	tt0433722
ym144903	tt0097162
ym180943	tt0177539
ym150394	tt0113497
ym148385	tt0093171
ym155854	tt0032184
ym155972	tt0338495
ym158343	tt0478566
ym168464	tt0117015
ym157003	tt0079875
ym177189	tt0045585
ym143550	tt0122690
ym151130	tt0050233
ym156503	tt0075393
ym169496	tt0191280
ym148606	tt0044557
ym159253	tt0247296
ym180604	tt0067456
ym156465	tt0099166
ym156795	tt0068673
ym153792	tt0091814
ym183974	tt0431611
ym166516	tt1038686
ym146774	tt0072034
ym146903	tt0116745
ym152736	tt0158375
ym177917	tt0038865
ym178569	tt0034547
ym179264	tt0060869
ym180106	tt0150554
ym524444	tt0073578
ym567844	tt0927739
